F090W_vega,F150W_vega
28.024,26.434
28.119,26.412
27.729,26.409
27.755,26.403
27.984,26.428
27.668,26.421
27.822,26.409
27.977,26.436
28.023,26.563
27.758,26.424
27.859,26.36
27.964,26.426
27.876,26.404
27.745,26.43
27.938,26.432
27.643,26.424
28.009,26.408
27.906,26.427
26.844,26.878
28.002,26.434
27.848,26.416
27.882,26.362
27.836,26.428
28.03,26.419
27.974,26.424
27.839,26.416
27.747,26.39
28.039,26.424
27.612,26.351
27.656,26.43
27.716,26.431
27.795,26.427
27.891,26.435
28.077,26.407
27.91,26.422
27.474,26.455
27.701,26.445
27.915,26.424
27.761,26.433
27.804,26.357
28.006,26.448
27.927,26.434
27.944,26.426
27.886,26.421
27.862,26.419
27.605,26.435
27.722,26.451
27.865,26.421
27.538,26.395
28.199,26.381
27.915,26.439
27.935,26.388
27.679,26.36
27.788,26.438
27.579,26.429
27.841,26.43
27.819,26.442
28.024,26.431
28.114,26.46
27.894,26.433
27.859,26.439
27.975,26.443
28.25,26.406
27.971,26.432
27.952,26.371
27.776,26.435
27.635,26.415
27.643,26.435
27.779,26.434
28.003,26.446
27.814,26.431
27.637,26.448
27.752,26.433
27.901,26.436
27.931,26.428
28.114,26.456
27.886,26.449
27.839,26.458
28.214,26.468
28.165,26.455
27.864,26.426
27.802,26.439
27.873,26.4
27.772,26.42
27.972,26.439
27.7,26.448
28.033,26.445
27.721,26.434
28.056,26.445
28.161,26.473
27.825,26.431
28.145,26.457
27.766,26.469
27.803,26.427
27.845,26.449
27.905,26.445
28.046,26.447
27.998,26.44
28.179,26.442
27.87,26.423
27.968,26.458
27.988,26.477
27.849,26.433
27.93,26.448
27.794,26.442
27.773,26.462
27.96,26.394
28.032,26.477
28.043,26.451
27.567,26.441
27.692,26.46
28.072,26.443
27.852,26.463
27.941,26.457
27.787,26.392
27.145,26.604
27.84,26.474
28.149,26.485
27.976,26.454
27.894,26.48
27.788,26.42
27.812,26.396
27.885,26.431
27.813,26.444
28.103,26.464
27.948,26.456
27.819,26.468
27.846,26.452
27.943,26.438
28.123,26.401
27.9,26.462
27.743,26.43
27.979,26.43
27.945,26.417
27.978,26.475
27.939,26.467
27.952,26.448
27.505,26.458
28.239,26.506
27.976,26.472
