F090W_vega,F150W_vega
27.138,25.561
26.888,25.561
26.702,25.563
26.47,25.589
26.663,25.594
26.853,25.564
27.085,25.57
26.879,25.552
26.962,25.572
26.817,25.579
26.817,25.566
27.076,25.579
26.81,25.573
26.84,25.587
26.878,25.571
27.036,25.592
26.796,25.583
27.03,25.58
26.945,25.606
26.993,25.585
26.872,25.598
26.86,25.624
26.914,25.578
26.93,25.595
26.801,25.61
26.899,25.586
26.766,25.608
26.785,25.586
26.876,25.604
26.539,25.607
26.769,25.594
26.917,25.602
26.945,25.606
26.79,25.609
26.59,25.622
26.979,25.59
27.15,25.603
26.749,25.6
27.145,25.619
26.964,25.605
26.967,25.593
26.894,25.611
26.562,25.63
26.972,25.607
26.786,25.61
26.203,25.755
26.756,25.593
26.793,25.623
26.973,25.631
27.084,25.616
27.073,25.627
26.792,25.631
26.912,25.609
26.792,25.613
26.942,25.64
26.821,25.614
26.658,25.647
26.784,25.62
26.862,25.629
26.868,25.63
26.887,25.62
27.041,25.636
27.082,25.616
26.812,25.641
27.04,25.628
26.897,25.643
26.779,25.622
26.747,25.647
27.005,25.635
26.803,25.646
26.728,25.632
26.904,25.642
27.24,25.652
26.985,25.637
26.888,25.648
26.799,25.655
26.803,25.652
26.83,25.636
27.141,25.636
26.926,25.652
26.788,25.654
27.018,25.646
26.6,25.665
26.025,25.952
26.773,25.644
27.097,25.653
27.005,25.649
26.988,25.667
26.914,25.644
26.645,25.659
26.998,25.643
26.779,25.674
27.01,25.663
26.642,25.679
27.083,25.65
26.778,25.667
26.828,25.64
27.026,25.637
26.716,25.686
27.026,25.665
26.698,25.676
27.079,25.689
26.975,25.651
26.894,25.663
26.821,25.657
26.884,25.659
27.178,25.667
26.894,25.686
26.986,25.69
26.89,25.652
26.861,25.655
26.786,25.674
27.186,25.679
26.883,25.666
27.041,25.687
26.81,25.687
26.87,25.698
26.937,25.7
26.823,25.681
26.816,25.705
27.075,25.715
26.832,25.697
27.229,25.706
26.956,25.718
27.103,25.698
27.222,25.692
26.983,25.717
27.446,25.713
27.149,25.732
27.192,25.696
26.972,25.697
27.575,25.701
26.921,25.71
27.181,25.725
27.346,25.715
27.003,25.721
26.968,25.71
27.019,25.67
26.927,25.697
26.984,25.694
27.046,25.701
27.075,25.757
